"1","1","29024935","48.900-010","ITAMOTINGA","Maniçoba","Av. do Colono, NH1","SN",,"(74) 3617-8342","doisdejulhojuazeiro@hotmail.com","(74) 98844-0798",,"EM02J","SIM","VELOX","ATIVO","SIM","NÃO",,"SALA PRÓPRIA","83.2008",,,,"SIM","VELOX","SIM","7","17","ATIVO","SIM","SIM","0","SIM","NÃO POSSUI","15"
"2","2","29024994","48.902-000","ITAMOTINGA","Maniçoba","Projeto Maniçoba NH II","SN",,"(74) 3611-3278","quinzedejulho@gmail.com",,,"EM15J","SIM","OUTRO","ATIVO","SIM","NÃO",,"SALA PRÓPRIA","69.2008",,,,"SIM","VELOX","SIM","6","15","INATIVO","SIM","SIM","0","SIM","NÃO POSSUI","15"
"3","3","29026130","48.900-991","ITAMOTINGA","ITAMOTINGA","ITAMOTINGA","SN",,"(74) 3613-9130","escola25.dejulho@outlook.com","(74) 98819-1565",,"EM25J","SIM","OUTRO","ATIVO","SIM","NÃO",,"SALA PRÓPRIA","38.2006",,,,"SIM","VELOX","SIM","7","17","ATIVO","SIM","SIM","0","SIM","NÃO POSSUI","17"
"4","4","29026601","48.910-000","JUNCO","Goiabeira I Salitre","Goiabeira I Salitre","SN",,"(74) 3617-5151","Não Possui","(74) 99925-7220","(74) 98811-1198","EMATJ","NÃO","NENHUMA","ATIVO","SIM","NÃO",,"SALA DE AULA","68.2009",,,,,,,"0","0",,,,"0",,,"0"
"5","5","29025699","48.912-000","ABÓBORA","Centro","Rua Bertolino Evangelista da Cunha","SN",,"(74) 3617-9072","emmsbonfim@hotmail.com","(74) 99991-2855",,"EMATA","NÃO","NENHUMA","ATIVO","SIM","NÃO",,"SALA PRÓPRIA","68.2009",,,,"SIM","VELOX","SIM","7","17","ATIVO","SIM","SIM","0","SIM","NÃO POSSUI","17"
"6","6","29026148","48.920-000","ITAMOTINGA","MANIÇOBA","LAGOA DA PEDRA - MANIÇOBA","SN",,"(74) 3613-9247","NÃO POSSUI","(74) 98826-1928","(74) 98834-7568","EMATM","SIM","OUTRO","ATIVO","SIM","NÃO",,"SALA PRÓPRIA","69.2008",,,,"SIM","VELOX","SIM","7","17","INATIVO","SIM","SIM","0","SIM","NÃO POSSUI","17"
"7","7","29341256","48.908-410","SEDE","ANTÔNIO GUILHERMINO","AVENIDA EVANGELISTA","SN",,,"analiabarbosa.edu@gmail.com","(74) 99155-2384",,"EMABS","SIM","VELOX","ATIVO","SIM","SIM","CARLOS AQUILA TERCIO MACEDO CRUZ","SALA PRÓPRIA","83.2008",,,,"NÃO","NENHUMA","SIM","2","10","INATIVO","NÃO","NÃO","0","NÃO","NÃO POSSUI","10"
"8","8","29026482","48.910-000","JUNCO","GOIABEIRA II","GOIABEIRA II","SN",,"(74) 3617-5050","valdetemsf@hotmail.com","(74) 98815-8634","(74) 99959-4902","EMAFO","NÃO","NENHUMA","ATIVO","SIM","SIM","ALEX MOREIRA MACHADO","SALA PRÓPRIA","68.2009","69.2008",,,"NÃO","NENHUMA","SIM","10","10","INATIVO","NÃO","NÃO","0","NÃO","NÃO POSSUI","10"
"9","9","29429536","48.901-090","SEDE","ARGEMIRO","RUA DO CRUZEIRO","15","PREDIO","(74) 3611-0018","ceajc1@hotmail.com",,,"EMAJC","SIM","VELOX","ATIVO","SIM","NÃO",,"NÃO POSSUI","83.2008",,,,"NÃO","NENHUMA","SIM","15","15","INATIVO","NÃO","NÃO","0","NÃO","NÃO POSSUI","5"
"10","10","29026159","48.920-000","ITAMOTINGA","ITAMOTINGA","FAZENDA BARAÚNA","SN",,"(74) 3618-7055","escola_bomjesusbarauna@hotmail.com",,,"EMBJBI","NÃO","NENHUMA","ATIVO","NÃO","NÃO",,,,,,,"NÃO","NENHUMA","SIM","1","5","INATIVO","SIM","NÃO","0","NÃO","NÃO POSSUI","5"
